Matchup,Agent A,Agent B,Avg Pareto Distance,Avg Nash Distance,Avg Kalai Distance,Avg KS Distance,Avg Agreement Rate,Avg Utility A Across Scenarios,Avg Utility B Across Scenarios
ReactiveT4TNegotiator_vs_MicroNegotiator,ReactiveT4TNegotiator,MicroNegotiator,0.09168395570272268,0.2343602626684651,0.2145878778696564,0.2145878778696564,1.0,0.5798571428571428,0.44015578844150277
MicroNegotiator_vs_ReactiveT4TNegotiator,MicroNegotiator,ReactiveT4TNegotiator,0.08956973561305939,0.22060885344864997,0.2399646421407539,0.2399646421407539,1.0,0.44240816326530613,0.588630875773733
